folder	disposition	rationale	image
pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main	SUPERSEDED_BY_CHROMA_PIPELINE	舊圖集 alpha 修補與綠底編輯忠實度稽核；整條 alpha 工作流已被幾何條件化產線取代，BIREFNET_FORBIDDEN 裁決由授權白名單制度承接	pose-atlas-rebuild/2026-08-25/checker-periodic-alpha-refine-main/green-edit-fidelity-heatmap-contact.png
pose-atlas-rebuild/2026-08-25/dlc-vnext-migration-dryrun-agent-c	LIVE_DLC_STRUCTURE	DLC 的解剖／服裝分離結構；套用到新的 24 視角仍需要	pose-atlas-rebuild/2026-08-25/dlc-vnext-migration-dryrun-agent-c/migration-contact.png
pose-atlas-rebuild/2026-08-25/flux-schnell-yaw045-img2img-main/quarantine-output	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-25/flux-schnell-yaw045-img2img-main/quarantine-output/yaw+045-pitch+00.flux-img2img-s0.15.png
pose-atlas-rebuild/2026-08-25/flux-schnell-yaw045-img2img-main/quarantine-output-fullres-s020	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-25/flux-schnell-yaw045-img2img-main/quarantine-output-fullres-s020/yaw+045-pitch+00.flux-img2img-s0.20.png
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main/fixed-identity-samples/checkpoint-step000003-fixed-seed20260825.png
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main/fixed-identity-samples-attempt-2	SUPERSEDED_BY_GEOMETRY_CONDITIONING	逐角度撈候選；24 視角改為確定性產生	pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-minimum-segment-main/fixed-identity-samples-attempt-2/checkpoint-step000003-fixed-seed20260825.png
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/fixed-identity-samples-step6-8/checkpoint-step000006-fixed-seed20260825.png
pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/fixed-identity-samples-step6-8	SUPERSEDED_BY_CHROMA_PIPELINE	Flux 系試驗；現行產線為 Chroma1-HD	pose-atlas-rebuild/2026-08-25/flux-v2-r3-rank4-formal-step5-8-main/fixed-identity-samples-step6-8/checkpoint-step000006-fixed-seed20260825.png
pose-atlas-rebuild/2026-08-25/identity-refined-candidates	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/identity-refined-candidates/yaw+030-pitch+00.candidate-v1.png
pose-atlas-rebuild/2026-08-25/identity-refined-candidates-agent-a	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/identity-refined-candidates-agent-a/yaw+030-pitch+00.candidate-v2.imagegen-raw.png
pose-atlas-rebuild/2026-08-25/identity-refined-candidates-agent-a/halo-cleanup-v3-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/identity-refined-candidates-agent-a/halo-cleanup-v3-agent-b/yaw+015-pitch+00-halo-cleanup-v3-preview-checker.png
pose-atlas-rebuild/2026-08-25/identity-refined-candidates/candidate-v3-halo-cleanup-v3	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/identity-refined-candidates/candidate-v3-halo-cleanup-v3/yaw+030-pitch+00.candidate-v3-halo-cleanup-v3-preview-magenta.png
pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/candidate-library-inventory-agent-b	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/candidate-library-inventory-agent-b/final/all-candidates-contact-04.png
pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/candidate-library-inventory-agent-b/final	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/candidate-library-inventory-agent-b/final/all-candidates-contact-04.png
pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/yaw075-independent-candidate-gate-agent-b/fixture-yaw075-v3-negative	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/yaw075-independent-candidate-gate-agent-b/fixture-yaw075-v3-negative/wic-contact.png
pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/yaw075-independent-candidate-gate-agent-b/yaw075-candidate-v7-control-board-audit	LIVE_GEOMETRY_CONTRACT	幾何控制契約；正是現行產線的上游	pose-atlas-rebuild/2026-08-25/mhr-neutral-body-smoke-agent-b/yaw075-independent-candidate-gate-agent-b/yaw075-candidate-v7-control-board-audit/wic-contact.png
pose-atlas-rebuild/2026-08-25/mohan-authority-only-identity-training-manifest-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/mohan-authority-only-identity-training-manifest-agent-b/training-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-distinct-source-identity-training-v1	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/mohan-distinct-source-identity-training-v1/training-contact-sheet.jpg
pose-atlas-rebuild/2026-08-25/mohan-distinct-source-identity-training-v2	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/mohan-distinct-source-identity-training-v2/expanded-source-contact.jpg
pose-atlas-rebuild/2026-08-25/mohan-distinct-source-identity-training-v2-independent-qa-agent-b	SUPERSEDED_BY_LORA_V2	identity 訓練候選比較；LoRA v2 已定案且權重已選	pose-atlas-rebuild/2026-08-25/mohan-distinct-source-identity-training-v2-independent-qa-agent-b/independent-contact-v2-r3.png
